CUST_CODE,TotalSpend,TotalVisits,TotalSKUs,FirstDate,LastDate,TotalQuantity,TicketSize,total_days,recency,avg_Quantity_per_TotalVisit,Cluster
CUST0000006052,0.53,1,1,2006-12-26,2006-12-26,1,0.53,1,558,1.0,Cluster 0
CUST0000006087,6.35,1,4,2006-10-28,2006-10-28,12,6.35,1,617,12.0,Cluster 0
CUST0000006193,16.31,4,16,2007-02-17,2007-11-10,16,4.0775,267,239,4.0,Cluster 0
CUST0000006298,13.62,1,5,2008-03-02,2008-03-02,7,13.62,1,126,7.0,Cluster 0
CUST0000006485,6.49,1,2,2008-02-15,2008-02-15,4,6.49,1,142,4.0,Cluster 0
CUST0000006617,65.97,1,20,2006-12-14,2006-12-14,28,65.97,1,570,28.0,Cluster 1
CUST0000006666,57.02000000000002,7,28,2006-07-03,2008-05-19,38,8.145714285714288,687,48,5.428571428571429,Cluster 2
CUST0000007392,85.79999999999998,8,46,2006-07-02,2008-06-05,104,10.724999999999998,705,31,13.0,Cluster 2
CUST0000007429,1.5,1,3,2007-11-11,2007-11-11,3,1.5,1,238,3.0,Cluster 0
CUST0000007501,130.79000000000002,34,58,2006-05-01,2008-06-26,125,3.8467647058823538,788,10,3.676470588235294,Cluster 2
CUST0000007712,94.28000000000002,10,31,2006-10-06,2008-06-01,61,9.428,605,35,6.1,Cluster 2
CUST0000007759,8.15,3,4,2006-11-18,2008-01-06,6,2.716666666666667,415,182,2.0,Cluster 2
CUST0000007860,2448.4700000000016,44,177,2006-07-24,2008-06-26,1779,55.64704545454549,704,10,40.43181818181818,Cluster 1
CUST0000007939,123.19000000000003,10,43,2006-05-30,2008-06-29,97,12.319000000000003,762,7,9.7,Cluster 2
CUST0000007960,46.040000000000006,2,17,2008-03-10,2008-03-31,25,23.020000000000003,22,97,12.5,Cluster 0
CUST0000007993,0.67,1,1,2007-03-17,2007-03-17,1,0.67,1,477,1.0,Cluster 0
CUST0000008005,33.379999999999995,8,13,2007-12-24,2008-06-30,25,4.172499999999999,190,6,3.125,Cluster 2
CUST0000008415,4365.790000000004,378,407,2006-04-12,2008-07-05,4510,11.549708994709004,816,1,11.931216931216932,Cluster 3
CUST0000009065,1.6700000000000002,1,2,2007-11-07,2007-11-07,2,1.6700000000000002,1,242,2.0,Cluster 0
CUST0000009237,6.47,4,5,2006-05-08,2007-08-06,6,1.6175,456,335,1.5,Cluster 0
CUST0000009369,0.4,1,1,2008-01-08,2008-01-08,1,0.4,1,180,1.0,Cluster 0
CUST0000009685,0.45999999999999996,1,2,2007-04-25,2007-04-25,2,0.45999999999999996,1,438,2.0,Cluster 0
CUST0000009836,10.0,1,5,2006-08-20,2006-08-20,7,10.0,1,686,7.0,Cluster 0
CUST0000009859,1753.6500000000015,104,526,2006-05-24,2008-07-06,1350,16.862019230769246,775,0,12.98076923076923,Cluster 3
CUST0000010267,101.45,3,30,2006-06-19,2008-04-12,99,33.81666666666667,664,85,33.0,Cluster 1
CUST0000010402,1.81,1,2,2006-06-30,2006-06-30,2,1.81,1,737,2.0,Cluster 0
CUST0000010500,2.27,1,1,2006-07-26,2006-07-26,1,2.27,1,711,1.0,Cluster 0
CUST0000011068,7.42,1,5,2008-03-11,2008-03-11,9,7.42,1,117,9.0,Cluster 0
CUST0000011075,978.649999999997,137,184,2006-04-11,2008-06-22,1114,7.143430656934285,804,14,8.13138686131387,Cluster 2
CUST0000011121,11.420000000000002,19,4,2006-08-06,2008-04-17,19,0.6010526315789475,621,80,1.0,Cluster 2
CUST0000011202,312.7499999999997,3,57,2007-12-19,2008-04-20,155,104.2499999999999,124,77,51.666666666666664,Cluster 1
CUST0000011284,9.56,4,2,2007-04-07,2008-04-08,4,2.39,368,89,1.0,Cluster 2
CUST0000011592,2479.6100000000038,191,455,2006-04-10,2008-06-26,3110,12.982251308900544,809,10,16.282722513089006,Cluster 3
CUST0000011715,0.98,1,1,2007-02-10,2007-02-10,1,0.98,1,512,1.0,Cluster 0
CUST0000012035,28.150000000000006,3,11,2007-01-16,2007-01-22,15,9.383333333333335,7,531,5.0,Cluster 0
CUST0000012198,7.4300000000000015,5,12,2006-09-30,2007-09-07,13,1.4860000000000002,343,303,2.6,Cluster 0
CUST0000012241,4.58,4,6,2006-09-01,2008-04-24,12,1.145,602,73,3.0,Cluster 2
CUST0000012331,0.39,1,1,2007-07-13,2007-07-13,1,0.39,1,359,1.0,Cluster 0
CUST0000012587,7.68,3,8,2006-06-17,2007-01-07,12,2.56,205,546,4.0,Cluster 0
CUST0000012784,1633.289999999996,39,340,2006-05-04,2008-07-05,1066,41.87923076923067,794,1,27.333333333333332,Cluster 3
CUST0000013258,73.03000000000006,26,45,2006-04-30,2008-06-09,88,2.808846153846156,772,27,3.3846153846153846,Cluster 2
CUST0000013748,17.480000000000004,2,13,2006-04-10,2007-09-29,13,8.740000000000002,538,281,6.5,Cluster 2
CUST0000015258,0.68,1,1,2006-07-25,2006-07-25,1,0.68,1,712,1.0,Cluster 0
CUST0000015814,2.6100000000000003,4,2,2006-05-01,2007-03-19,9,0.6525000000000001,323,475,2.25,Cluster 0
CUST0000015935,110.88000000000007,19,54,2006-04-22,2008-06-24,129,5.835789473684214,795,12,6.7894736842105265,Cluster 2
CUST0000016396,0.02,2,1,2007-07-10,2007-10-27,2,0.01,110,253,1.0,Cluster 0
CUST0000016404,1627.1100000000038,81,344,2006-11-23,2008-06-30,1239,20.087777777777823,586,6,15.296296296296296,Cluster 3
CUST0000016542,1.7999999999999998,3,3,2006-04-26,2007-11-19,3,0.6,573,230,1.0,Cluster 2
CUST0000016683,9.3,1,1,2008-03-21,2008-03-21,3,9.3,1,107,3.0,Cluster 0
CUST0000016697,88.86000000000003,7,53,2006-07-22,2007-11-12,79,12.694285714285718,479,237,11.285714285714286,Cluster 2
CUST0000016789,1.44,1,2,2008-02-25,2008-02-25,2,1.44,1,132,2.0,Cluster 0
CUST0000017137,101.49000000000002,13,32,2006-06-24,2008-07-03,62,7.806923076923079,741,3,4.769230769230769,Cluster 2
CUST0000017325,2926.1400000000026,174,495,2006-04-24,2008-07-06,1834,16.816896551724152,805,0,10.540229885057471,Cluster 3
CUST0000017365,7.39,3,8,2006-06-11,2007-10-12,8,2.4633333333333334,489,268,2.6666666666666665,Cluster 2
CUST0000017569,3.6899999999999995,1,4,2008-02-13,2008-02-13,4,3.6899999999999995,1,144,4.0,Cluster 0
CUST0000017570,421.0099999999999,6,110,2006-05-21,2007-12-13,244,70.16833333333331,572,206,40.666666666666664,Cluster 1
CUST0000017629,2229.2599999999934,62,268,2006-04-10,2008-07-05,2010,35.955806451612794,818,1,32.41935483870968,Cluster 3
CUST0000017822,11.48,1,4,2006-11-18,2006-11-18,4,11.48,1,596,4.0,Cluster 0
CUST0000018220,44.25,13,10,2006-06-24,2008-06-23,20,3.4038461538461537,731,13,1.5384615384615385,Cluster 2
CUST0000018427,5.42,1,5,2007-05-14,2007-05-14,5,5.42,1,419,5.0,Cluster 0
CUST0000018464,10.350000000000001,5,8,2007-05-01,2008-03-28,12,2.0700000000000003,333,100,2.4,Cluster 2
CUST0000018509,49.85,1,23,2008-02-24,2008-02-24,25,49.85,1,133,25.0,Cluster 1
CUST0000018686,2084.9700000000016,218,369,2006-04-10,2008-06-28,1787,9.564082568807347,811,8,8.197247706422019,Cluster 3
CUST0000018748,0.51,1,1,2007-08-02,2007-08-02,1,0.51,1,339,1.0,Cluster 0
CUST0000018908,38.90999999999999,6,14,2007-01-16,2008-02-21,27,6.4849999999999985,402,136,4.5,Cluster 2
CUST0000019198,153.97,10,49,2006-04-15,2008-06-20,82,15.397,798,16,8.2,Cluster 2
CUST0000019311,8.22,2,4,2008-02-28,2008-04-10,8,4.11,43,87,4.0,Cluster 0
CUST0000019732,247.61999999999998,16,103,2007-02-12,2008-06-02,290,15.476249999999999,477,34,18.125,Cluster 2
CUST0000019742,10.14,2,4,2007-04-16,2007-04-18,6,5.07,3,445,3.0,Cluster 0
CUST0000019765,9.48,1,6,2007-08-12,2007-08-12,8,9.48,1,329,8.0,Cluster 0
CUST0000019909,2.66,1,2,2007-05-10,2007-05-10,2,2.66,1,423,2.0,Cluster 0
CUST0000020205,0.39,1,1,2007-08-31,2007-08-31,1,0.39,1,310,1.0,Cluster 0
CUST0000020366,2089.9399999999937,204,445,2006-04-10,2008-07-05,1474,10.244803921568597,818,1,7.2254901960784315,Cluster 3
CUST0000020400,2.55,1,3,2006-07-13,2006-07-13,3,2.55,1,724,3.0,Cluster 0
CUST0000020590,15.959999999999999,5,10,2006-08-31,2007-06-22,10,3.1919999999999997,296,380,2.0,Cluster 0
CUST0000020599,0.27,1,1,2007-02-01,2007-02-01,1,0.27,1,521,1.0,Cluster 0
CUST0000021161,1928.5900000000038,52,168,2006-04-15,2008-06-25,1216,37.088269230769306,803,11,23.384615384615383,Cluster 1
CUST0000021218,1723.070000000002,214,370,2006-04-15,2008-07-05,1139,8.051728971962627,813,1,5.322429906542056,Cluster 3
CUST0000022116,47.66000000000001,20,25,2006-07-26,2008-04-06,61,2.3830000000000005,621,91,3.05,Cluster 2
CUST0000022350,0.97,1,1,2006-08-24,2006-08-24,1,0.97,1,682,1.0,Cluster 0
CUST0000022672,401.0300000000006,23,83,2006-06-27,2008-03-12,323,17.436086956521766,625,116,14.043478260869565,Cluster 2
CUST0000022777,5.220000000000001,2,2,2007-12-24,2007-12-25,5,2.6100000000000003,2,194,2.5,Cluster 0
CUST0000023030,9.879999999999999,1,6,2007-07-14,2007-07-14,8,9.879999999999999,1,358,8.0,Cluster 0
CUST0000023116,4.14,2,3,2006-11-17,2007-06-15,5,2.07,211,387,2.5,Cluster 0
CUST0000023615,45.21000000000001,1,29,2006-04-14,2006-04-14,31,45.21000000000001,1,814,31.0,Cluster 1
CUST0000023622,4.86,1,3,2007-07-12,2007-07-12,3,4.86,1,360,3.0,Cluster 0
CUST0000023689,19.88,2,9,2008-03-04,2008-03-29,22,9.94,26,99,11.0,Cluster 0
CUST0000024062,94.4,1,42,2007-09-08,2007-09-08,68,94.4,1,302,68.0,Cluster 1
CUST0000024174,20.77,4,10,2007-03-14,2008-04-25,17,5.1925,409,72,4.25,Cluster 2
CUST0000024931,0.95,1,1,2006-11-24,2006-11-24,1,0.95,1,590,1.0,Cluster 0
CUST0000025370,24.919999999999998,2,18,2007-11-20,2008-01-08,20,12.459999999999999,50,180,10.0,Cluster 0
CUST0000025691,46.03999999999999,3,24,2008-02-06,2008-03-23,41,15.346666666666664,47,105,13.666666666666666,Cluster 0
CUST0000025746,51.09000000000001,8,16,2007-03-19,2008-03-15,23,6.386250000000001,363,113,2.875,Cluster 2
CUST0000025794,9.42,3,3,2006-09-12,2008-04-30,10,3.14,597,67,3.3333333333333335,Cluster 2
CUST0000025985,0.98,1,1,2007-08-18,2007-08-18,1,0.98,1,323,1.0,Cluster 0
CUST0000026017,2.0300000000000002,1,5,2008-03-27,2008-03-27,5,2.0300000000000002,1,101,5.0,Cluster 0
CUST0000026353,23.529999999999998,5,8,2006-10-24,2008-06-21,19,4.7059999999999995,607,15,3.8,Cluster 2
CUST0000026371,137.76000000000005,4,62,2007-05-30,2007-08-18,87,34.44000000000001,81,323,21.75,Cluster 1
CUST0000026502,9.9,1,1,2007-03-30,2007-03-30,1,9.9,1,464,1.0,Cluster 0
CUST0000026564,20.38,1,1,2007-06-11,2007-06-11,1,20.38,1,391,1.0,Cluster 0
CUST0000026634,16.98,2,12,2006-07-03,2007-06-08,14,8.49,341,394,7.0,Cluster 0
CUST0000027108,30.72,2,10,2007-10-24,2008-05-16,36,15.36,206,51,18.0,Cluster 2
CUST0000027176,1.11,1,1,2008-02-18,2008-02-18,1,1.11,1,139,1.0,Cluster 0
CUST0000027496,3.38,2,2,2007-07-24,2008-04-15,4,1.69,267,82,2.0,Cluster 2
CUST0000028147,247.0199999999998,29,82,2006-04-24,2008-04-07,185,8.517931034482752,715,90,6.379310344827586,Cluster 2
CUST0000028248,13.3,3,7,2007-05-27,2007-07-21,12,4.433333333333334,56,351,4.0,Cluster 0
CUST0000028322,99.90000000000005,35,33,2007-09-25,2008-06-24,112,2.854285714285716,274,12,3.2,Cluster 2
CUST0000028555,3263.1599999999976,117,339,2006-04-20,2008-07-04,2764,27.890256410256388,807,2,23.623931623931625,Cluster 3
CUST0000028656,29.489999999999995,3,11,2007-08-17,2008-04-15,37,9.829999999999998,243,82,12.333333333333334,Cluster 2
CUST0000028714,2.09,1,3,2007-09-14,2007-09-14,3,2.09,1,296,3.0,Cluster 0
CUST0000028817,8.36,2,4,2006-09-03,2008-06-05,8,4.18,642,31,4.0,Cluster 2
CUST0000028958,1.99,1,1,2006-04-26,2006-04-26,1,1.99,1,802,1.0,Cluster 0
CUST0000029089,479.04000000000025,28,96,2006-07-21,2008-05-14,440,17.108571428571437,664,53,15.714285714285714,Cluster 2
CUST0000029230,2.39,1,1,2007-10-07,2007-10-07,1,2.39,1,273,1.0,Cluster 0
CUST0000029792,24.480000000000004,14,23,2006-07-07,2008-07-02,36,1.7485714285714289,727,4,2.5714285714285716,Cluster 2
CUST0000030075,3.62,3,3,2007-01-27,2008-06-20,5,1.2066666666666668,511,16,1.6666666666666667,Cluster 2
CUST0000030095,49.97,10,24,2006-11-14,2008-07-02,53,4.997,597,4,5.3,Cluster 2
CUST0000030542,9.15,1,3,2007-06-09,2007-06-09,5,9.15,1,393,5.0,Cluster 0
CUST0000030592,32.739999999999995,3,20,2007-12-19,2008-05-16,26,10.913333333333332,150,51,8.666666666666666,Cluster 2
CUST0000030719,74.79999999999998,10,32,2006-12-22,2008-01-08,80,7.479999999999999,383,180,8.0,Cluster 2
CUST0000030827,51.51999999999999,1,16,2006-12-15,2006-12-15,41,51.51999999999999,1,569,41.0,Cluster 1
CUST0000031233,100.60000000000001,26,18,2006-05-14,2008-07-05,112,3.8692307692307697,784,1,4.3076923076923075,Cluster 2
CUST0000031316,24.349999999999998,3,4,2006-06-11,2006-11-01,6,8.116666666666665,144,613,2.0,Cluster 0
CUST0000031779,125.83000000000004,27,58,2006-04-18,2008-06-22,144,4.660370370370372,797,14,5.333333333333333,Cluster 2
CUST0000031949,2.16,2,1,2007-08-28,2008-06-09,2,1.08,287,27,1.0,Cluster 2
CUST0000032037,1850.7099999999984,121,323,2006-04-11,2008-06-14,1351,15.295123966942135,796,22,11.165289256198347,Cluster 3
CUST0000032179,73.47999999999999,12,37,2006-05-10,2008-06-23,63,6.123333333333332,776,13,5.25,Cluster 2
CUST0000032358,7.300000000000002,5,6,2006-07-23,2007-12-11,8,1.4600000000000004,507,208,1.6,Cluster 2
CUST0000033021,266.7599999999998,26,96,2006-09-02,2008-06-24,234,10.259999999999993,662,12,9.0,Cluster 2
CUST0000033991,0.43,1,1,2007-12-18,2007-12-18,1,0.43,1,201,1.0,Cluster 0
CUST0000034324,1.06,1,1,2006-10-25,2006-10-25,1,1.06,1,620,1.0,Cluster 0
CUST0000034400,24.469999999999995,1,8,2008-03-29,2008-03-29,10,24.469999999999995,1,99,10.0,Cluster 0
CUST0000034413,6.33,6,7,2006-11-12,2008-06-16,8,1.055,583,20,1.3333333333333333,Cluster 2
CUST0000034506,1.67,1,1,2007-02-21,2007-02-21,1,1.67,1,501,1.0,Cluster 0
CUST0000034681,27.53,6,2,2007-08-04,2008-05-27,14,4.588333333333334,298,40,2.3333333333333335,Cluster 2
CUST0000035164,79.37,3,18,2006-07-15,2008-04-22,65,26.456666666666667,648,75,21.666666666666668,Cluster 1
CUST0000035234,27.020000000000007,4,9,2006-12-16,2008-06-27,13,6.755000000000002,560,9,3.25,Cluster 2
CUST0000035243,19.82,6,12,2006-09-20,2008-03-16,20,3.3033333333333332,544,112,3.3333333333333335,Cluster 2
CUST0000035278,49.91000000000001,3,17,2006-11-29,2008-04-20,46,16.63666666666667,509,77,15.333333333333334,Cluster 2
CUST0000035553,0.86,1,1,2006-06-04,2006-06-04,1,0.86,1,763,1.0,Cluster 0
CUST0000035601,20.4,3,1,2006-04-22,2006-12-24,5,6.8,247,560,1.6666666666666667,Cluster 0
CUST0000035890,647.2299999999999,84,178,2007-04-07,2008-06-28,576,7.705119047619046,449,8,6.857142857142857,Cluster 2
CUST0000036012,7.699999999999999,6,4,2006-10-09,2008-06-04,6,1.2833333333333332,605,32,1.0,Cluster 2
CUST0000036040,48.1,2,18,2006-12-19,2007-12-29,25,24.05,376,190,12.5,Cluster 2
CUST0000036136,1869.0199999999961,202,288,2006-04-12,2008-06-30,1675,9.252574257425723,811,6,8.292079207920793,Cluster 3
CUST0000036162,5.699999999999999,2,4,2007-10-16,2008-04-20,8,2.8499999999999996,188,77,4.0,Cluster 0
CUST0000036238,75.17999999999998,2,39,2006-05-24,2006-11-10,62,37.58999999999999,171,604,31.0,Cluster 1
CUST0000036387,211.70000000000005,39,87,2006-04-13,2008-06-22,200,5.428205128205129,802,14,5.128205128205129,Cluster 2
CUST0000036436,4.71,3,4,2006-10-04,2007-09-15,8,1.57,347,295,2.6666666666666665,Cluster 0
CUST0000036480,0.21,1,1,2007-07-06,2007-07-06,1,0.21,1,366,1.0,Cluster 0
CUST0000036498,10.219999999999999,3,6,2006-05-20,2008-06-30,12,3.4066666666666663,773,6,4.0,Cluster 2
CUST0000036515,11.87,3,5,2006-12-28,2008-06-03,8,3.9566666666666666,524,33,2.6666666666666665,Cluster 2
CUST0000037123,2564.3799999999865,210,355,2006-04-11,2008-07-03,3828,12.211333333333268,815,3,18.228571428571428,Cluster 3
CUST0000037313,417.53999999999996,39,114,2006-05-19,2008-06-18,236,10.706153846153844,762,18,6.051282051282051,Cluster 2
CUST0000037610,14.619999999999997,16,9,2006-05-07,2008-06-29,24,0.9137499999999998,785,7,1.5,Cluster 2
CUST0000037721,2.2,2,1,2007-07-26,2008-04-24,2,1.1,274,73,1.0,Cluster 2
CUST0000038176,32.63,10,17,2006-05-30,2007-04-27,37,3.2630000000000003,333,436,3.7,Cluster 0
CUST0000038406,41.36,1,11,2007-08-17,2007-08-17,19,41.36,1,324,19.0,Cluster 1
CUST0000038488,5.8500000000000005,7,3,2007-01-20,2008-05-28,7,0.8357142857142857,495,39,1.0,Cluster 2
CUST0000038525,1.75,1,2,2007-02-26,2007-02-26,2,1.75,1,496,2.0,Cluster 0
CUST0000038546,1115.8199999999993,23,198,2006-05-17,2008-06-28,524,48.513913043478226,774,8,22.782608695652176,Cluster 1
CUST0000038615,1.81,1,3,2006-07-26,2006-07-26,3,1.81,1,711,3.0,Cluster 0
CUST0000038693,110.16,17,45,2008-01-22,2008-06-18,118,6.4799999999999995,149,18,6.9411764705882355,Cluster 2
CUST0000038720,71.60000000000001,6,26,2006-06-22,2008-06-24,35,11.933333333333335,734,12,5.833333333333333,Cluster 2
CUST0000039309,94.38000000000007,4,40,2007-11-28,2008-07-04,108,23.595000000000017,220,2,27.0,Cluster 1
CUST0000039707,1.37,2,2,2007-06-16,2007-10-18,2,0.685,125,262,1.0,Cluster 0
CUST0000039796,67.18,2,11,2007-08-19,2008-04-22,46,33.59,248,75,23.0,Cluster 1
CUST0000040225,3.84,2,3,2006-09-02,2006-12-14,5,1.92,104,570,2.5,Cluster 0
CUST0000040396,17.4,5,10,2007-08-31,2008-05-25,21,3.4799999999999995,269,42,4.2,Cluster 2
CUST0000040513,1.1600000000000001,2,2,2007-02-21,2008-06-10,4,0.5800000000000001,476,26,2.0,Cluster 2
CUST0000040538,0.86,1,1,2008-02-20,2008-02-20,1,0.86,1,137,1.0,Cluster 0
CUST0000040677,4091.779999999972,221,490,2006-04-13,2008-07-04,2761,18.51484162895915,814,2,12.493212669683258,Cluster 3
CUST0000040739,14.840000000000002,3,8,2006-07-14,2007-09-04,16,4.946666666666667,418,306,5.333333333333333,Cluster 0
CUST0000040781,0.01,1,1,2007-06-22,2007-06-22,1,0.01,1,380,1.0,Cluster 0
CUST0000040844,112.84999999999995,22,35,2006-04-13,2008-06-27,126,5.129545454545452,807,9,5.7272727272727275,Cluster 2
CUST0000040955,118.85999999999993,29,57,2006-04-14,2008-06-22,106,4.09862068965517,801,14,3.6551724137931036,Cluster 2
CUST0000041050,2151.0499999999934,212,245,2006-04-13,2008-07-06,1948,10.146462264150912,816,0,9.18867924528302,Cluster 3
CUST0000041078,121.06000000000003,19,47,2006-12-23,2008-06-16,101,6.371578947368422,542,20,5.315789473684211,Cluster 2
CUST0000041090,224.92999999999995,27,86,2006-05-02,2008-06-01,175,8.330740740740739,762,35,6.481481481481482,Cluster 2
CUST0000041470,138.20000000000002,4,54,2006-09-12,2007-08-04,95,34.550000000000004,327,337,23.75,Cluster 1
CUST0000041672,7.7299999999999995,5,4,2006-05-25,2007-08-28,5,1.5459999999999998,461,313,1.0,Cluster 0
CUST0000041700,295.4399999999999,22,106,2006-06-05,2008-05-30,273,13.429090909090904,726,37,12.409090909090908,Cluster 2
CUST0000041895,2.03,1,1,2006-11-10,2006-11-10,1,2.03,1,604,1.0,Cluster 0
CUST0000042176,46.129999999999995,18,25,2006-04-13,2008-05-15,53,2.5627777777777774,764,52,2.9444444444444446,Cluster 2
CUST0000042205,0.25,1,1,2007-10-19,2007-10-19,1,0.25,1,261,1.0,Cluster 0
CUST0000042411,21.97,1,3,2007-10-19,2007-10-19,5,21.97,1,261,5.0,Cluster 0
CUST0000042816,4.5,1,1,2006-07-03,2006-07-03,3,4.5,1,734,3.0,Cluster 0
CUST0000042901,46.57000000000001,1,16,2006-08-30,2006-08-30,22,46.57000000000001,1,676,22.0,Cluster 1
CUST0000043221,15.140000000000002,1,13,2007-08-31,2007-08-31,13,15.140000000000002,1,310,13.0,Cluster 0
CUST0000043264,66.64000000000001,10,29,2006-11-10,2007-09-08,60,6.6640000000000015,303,302,6.0,Cluster 0
CUST0000043270,2.38,1,2,2006-07-31,2006-07-31,2,2.38,1,706,2.0,Cluster 0
CUST0000043394,442.35999999999996,62,91,2006-06-06,2008-06-30,270,7.134838709677418,756,6,4.354838709677419,Cluster 2
CUST0000043443,4.62,2,2,2006-06-05,2006-06-05,6,2.31,1,762,3.0,Cluster 0
CUST0000043541,221.06,17,68,2006-07-13,2008-04-15,157,13.003529411764706,643,82,9.235294117647058,Cluster 2
CUST0000043884,11.14,5,9,2007-04-20,2008-01-03,13,2.228,259,185,2.6,Cluster 0
CUST0000044051,1140.2999999999993,78,210,2006-04-13,2008-07-03,775,14.619230769230759,813,3,9.935897435897436,Cluster 2
CUST0000044200,31.87,6,13,2006-06-18,2008-04-29,26,5.3116666666666665,682,68,4.333333333333333,Cluster 2
CUST0000044205,4.46,1,6,2006-04-11,2006-04-11,6,4.46,1,817,6.0,Cluster 0
CUST0000044358,4.5600000000000005,3,2,2007-07-05,2007-10-02,5,1.5200000000000002,90,278,1.6666666666666667,Cluster 0
CUST0000044592,2.6,2,1,2007-08-11,2008-04-28,2,1.3,262,69,1.0,Cluster 2
CUST0000044690,5.549999999999999,5,3,2006-08-03,2006-09-02,8,1.1099999999999999,31,673,1.6,Cluster 0
CUST0000044707,120.09999999999998,37,52,2006-06-24,2008-06-29,142,3.2459459459459454,737,7,3.8378378378378377,Cluster 2
CUST0000044737,1556.8300000000063,266,125,2006-04-12,2008-07-06,2235,5.852744360902279,817,0,8.402255639097744,Cluster 3
CUST0000044880,2036.2600000000016,43,351,2006-05-01,2008-06-26,1281,47.35488372093027,788,10,29.790697674418606,Cluster 3
CUST0000044976,172.98999999999995,12,78,2006-07-20,2008-06-18,192,14.41583333333333,700,18,16.0,Cluster 2
CUST0000045324,6.69,2,5,2006-10-28,2006-10-29,5,3.345,2,616,2.5,Cluster 0
CUST0000045491,53.720000000000006,6,24,2006-06-28,2008-05-01,40,8.953333333333335,674,66,6.666666666666667,Cluster 2
CUST0000045545,337.64,19,108,2006-06-28,2008-06-24,210,17.77052631578947,728,12,11.052631578947368,Cluster 2
CUST0000045573,1.34,2,1,2007-04-26,2008-06-15,2,0.67,417,21,1.0,Cluster 2
CUST0000045579,4.799999999999999,2,3,2007-06-04,2007-06-04,5,2.3999999999999995,1,398,2.5,Cluster 0
CUST0000046385,6.440000000000001,1,5,2006-10-09,2006-10-09,12,6.440000000000001,1,636,12.0,Cluster 0
CUST0000046443,11.73,1,2,2007-12-02,2007-12-02,2,11.73,1,217,2.0,Cluster 0
CUST0000046733,4.12,2,3,2008-02-08,2008-04-16,10,2.06,69,81,5.0,Cluster 0
CUST0000046863,0.33,1,1,2007-01-01,2007-01-01,1,0.33,1,552,1.0,Cluster 0
CUST0000046978,406.08,16,100,2006-08-02,2008-06-13,216,25.38,682,23,13.5,Cluster 2
